episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
1,200,63.00,-2776.00,180,157,0.4,0.300,0.0000
2,200,74.00,-2763.00,199,115,0.7,0.300,0.0000
3,200,11.00,-2934.00,200,146,1.1,0.300,0.0000
4,200,38.00,-2860.00,198,137,1.4,0.300,0.0000
5,200,-40.00,-2867.00,225,85,1.8,0.300,0.0000
6,200,8.00,-2647.00,194,104,2.2,0.300,0.0000
7,200,4.00,-2915.00,214,116,2.5,0.300,0.0000
8,200,-27.00,-2822.00,205,116,2.9,0.300,0.0000
9,200,-176.00,-2947.00,215,119,3.2,0.300,0.0000
10,200,32.00,-2679.00,177,141,3.6,0.300,0.0000
11,200,109.00,-2690.00,189,119,3.9,0.300,0.0000
12,200,31.00,-2787.00,199,119,4.3,0.300,0.0000
13,200,-26.00,-2937.00,217,116,4.7,0.300,0.0000
14,200,16.00,-2708.00,198,107,5.0,0.300,0.0000
15,200,115.00,-2532.00,174,118,5.4,0.300,0.0000
16,200,-93.00,-2843.00,202,125,5.7,0.300,0.0000
17,200,13.00,-2879.00,202,133,6.1,0.300,0.0000
18,200,-44.00,-3017.00,225,114,6.4,0.300,0.0000
19,200,23.00,-2793.00,206,106,6.8,0.300,0.0000
20,200,112.00,-2870.00,211,112,7.1,0.300,0.0000
21,200,39.00,-3002.00,187,186,7.5,0.300,0.0000
22,200,74.00,-2933.00,196,155,7.8,0.300,0.0000
23,200,-160.00,-2730.00,188,131,8.2,0.300,0.0000
24,200,9.00,-2895.00,187,166,8.5,0.300,0.0000
25,200,-165.00,-3113.00,240,102,8.9,0.300,0.0000
26,200,109.00,-2775.00,192,130,9.2,0.300,0.0000
27,200,-56.00,-2762.00,182,148,9.6,0.300,0.0000
28,200,108.00,-2966.00,204,145,9.9,0.300,0.0000
29,200,84.00,-2688.00,189,119,10.3,0.300,0.0000
30,200,97.00,-2674.00,194,105,10.6,0.300,0.0000
31,200,-7.00,-2869.00,184,168,11.0,0.300,0.0000
32,200,24.00,-2631.00,199,87,11.3,0.300,0.0000
33,200,66.00,-2816.00,203,117,11.7,0.300,0.0000
34,200,155.00,-2717.00,194,118,12.0,0.300,0.0000
35,200,33.00,-2909.00,206,130,12.4,0.300,0.0000
36,200,149.00,-2658.00,194,103,12.8,0.300,0.0000
37,200,68.00,-2807.00,201,119,13.1,0.300,0.0000
38,200,61.00,-2739.00,203,102,13.5,0.300,0.0000
39,200,134.00,-2636.00,189,110,13.8,0.300,0.0000
40,200,18.00,-2987.00,198,163,14.2,0.300,0.0000
41,200,28.00,-2757.00,205,101,14.5,0.300,0.0000
42,200,31.00,-2809.00,204,114,14.9,0.300,0.0000
43,200,6.00,-2571.00,187,102,15.2,0.300,0.0000
44,200,-52.00,-2795.00,191,137,15.6,0.300,0.0000
45,200,64.00,-2966.00,197,159,15.9,0.300,0.0000
46,200,6.00,-2957.00,206,140,16.2,0.300,0.0000
47,200,50.00,-2771.00,182,152,16.6,0.300,0.0000
48,200,-62.00,-2837.00,195,138,16.9,0.300,0.0000
49,200,14.00,-2663.00,184,126,17.3,0.300,0.0000
50,200,80.00,-2790.00,198,125,17.6,0.300,0.0000
51,200,-40.00,-2726.00,190,125,18.0,0.300,0.0000
52,200,18.00,-2823.00,205,115,18.3,0.300,0.0000
53,200,60.00,-2727.00,194,118,18.7,0.300,0.0000
54,200,-13.00,-2857.00,213,107,19.0,0.300,0.0000
55,200,-16.00,-2671.00,166,162,19.4,0.300,0.0000
56,200,139.00,-2794.00,201,116,19.7,0.300,0.0000
57,200,-25.00,-2768.00,205,102,20.1,0.300,0.0000
58,200,-19.00,-2757.00,189,133,20.5,0.300,0.0000
59,200,148.00,-2726.00,201,104,20.8,0.300,0.0000
60,200,17.00,-2846.00,178,174,21.2,0.300,0.0000
61,200,-46.00,-2991.00,225,105,21.5,0.300,0.0000
62,200,-37.00,-2766.00,184,146,21.9,0.300,0.0000
63,200,-14.00,-2711.00,191,122,22.2,0.300,0.0000
64,200,121.00,-2861.00,193,148,22.6,0.300,0.0000
65,200,105.00,-2851.00,202,126,22.9,0.300,0.0000
66,200,-64.00,-2880.00,205,124,23.3,0.300,0.0000
67,200,58.00,-2895.00,201,136,23.6,0.300,0.0000
68,200,66.00,-2707.00,189,124,24.0,0.300,0.0000
69,200,-62.00,-2764.00,204,105,24.3,0.300,0.0000
70,200,125.00,-2695.00,181,134,24.7,0.300,0.0000
71,200,-30.00,-2930.00,207,133,25.0,0.300,0.0000
72,200,0.00,-2792.00,175,167,25.4,0.300,0.0000
73,200,-71.00,-2818.00,205,115,25.7,0.300,0.0000
74,200,72.00,-2816.00,200,124,26.1,0.300,0.0000
75,200,41.00,-2902.00,212,119,26.4,0.300,0.0000
76,200,-1.00,-2898.00,163,214,26.8,0.300,0.0000
77,200,-24.00,-2788.00,190,137,27.1,0.300,0.0000
78,200,69.00,-2824.00,194,139,27.5,0.300,0.0000
79,200,-42.00,-2798.00,198,124,27.8,0.300,0.0000
80,200,-76.00,-2772.00,199,118,28.2,0.300,0.0000
81,200,145.00,-2776.00,196,124,28.5,0.300,0.0000
82,200,-17.00,-2775.00,198,120,28.9,0.300,0.0000
83,200,98.00,-2531.00,171,127,29.2,0.300,0.0000
84,200,-77.00,-2850.00,214,101,29.6,0.300,0.0000
85,200,-5.00,-2912.00,192,158,29.9,0.300,0.0000
86,200,191.00,-2565.00,169,136,30.3,0.300,0.0000
87,200,78.00,-2828.00,193,139,30.6,0.300,0.0000
88,200,-2.00,-2924.00,211,123,31.0,0.300,0.0000
89,200,95.00,-2706.00,185,133,31.3,0.300,0.0000
90,200,176.00,-2667.00,183,129,31.7,0.300,0.0000
91,200,27.00,-2698.00,177,148,32.0,0.300,0.0000
92,200,-67.00,-2670.00,180,135,32.4,0.300,0.0000
93,200,49.00,-2738.00,199,109,32.7,0.300,0.0000
94,200,48.00,-2776.00,199,116,33.1,0.300,0.0000
95,200,9.00,-2876.00,223,89,33.4,0.300,0.0000
96,200,-125.00,-2810.00,211,101,33.8,0.300,0.0000
97,200,60.00,-2807.00,194,133,34.1,0.300,0.0000
98,200,37.00,-2791.00,201,116,34.5,0.300,0.0000
99,200,3.00,-2751.00,206,100,34.8,0.300,0.0000
100,200,-74.00,-2828.00,206,115,35.2,0.300,0.0000
101,200,-14.00,-2891.00,193,153,35.5,0.300,0.0000
102,200,-2.00,-2810.00,193,136,35.9,0.300,0.0000
103,200,8.00,-2801.00,192,138,36.2,0.300,0.0000
104,200,92.00,-2893.00,215,109,36.6,0.300,0.0000
105,200,36.00,-2786.00,194,131,36.9,0.300,0.0000
106,200,-60.00,-2629.00,178,131,37.3,0.300,0.0000
107,200,-113.00,-3051.00,223,125,37.6,0.300,0.0000
108,200,-16.00,-2741.00,183,143,38.0,0.300,0.0000
109,200,15.00,-2792.00,199,121,38.4,0.300,0.0000
110,200,-155.00,-3057.00,230,111,38.7,0.300,0.0000
111,200,27.00,-2711.00,197,109,39.1,0.300,0.0000
112,200,67.00,-2867.00,189,154,39.4,0.300,0.0000
113,200,-76.00,-2624.00,199,89,39.8,0.300,0.0000
114,200,-28.00,-2881.00,187,162,40.1,0.300,0.0000
115,200,70.00,-2698.00,191,117,40.5,0.300,0.0000
116,200,106.00,-2808.00,197,130,40.8,0.300,0.0000
117,200,83.00,-2676.00,149,199,41.2,0.300,0.0000
