episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
1,200,-6.00,-2845.00,139,252,1.3,0.000,0.2040
2,200,5.00,-2809.00,139,245,2.4,0.000,0.5080
3,200,71.00,-2874.00,150,237,3.6,0.000,0.3446
4,200,105.00,-2931.00,156,234,4.7,0.000,0.6452
5,200,137.00,-2688.00,129,242,5.8,0.000,0.4256
6,200,28.00,-2756.00,148,217,6.9,0.000,0.2614
7,200,-48.00,-2896.00,161,218,8.1,0.000,0.5289
8,200,32.00,-2681.00,133,233,9.2,0.000,0.2444
9,200,122.00,-2673.00,140,218,10.3,0.000,0.6013
10,200,48.00,-2633.00,134,219,11.4,0.000,0.5358
11,200,89.00,-2726.00,138,230,12.5,0.000,0.4013
12,200,101.00,-2605.00,122,237,13.7,0.000,0.3539
13,200,-26.00,-2743.00,125,259,14.8,0.000,0.4134
14,200,106.00,-2627.00,127,233,16.0,0.000,0.5211
15,200,142.00,-2958.00,152,249,17.3,0.000,0.3754
16,200,-22.00,-2830.00,141,249,18.4,0.000,0.3709
17,200,103.00,-2771.00,147,222,19.7,0.000,0.5446
18,200,38.00,-2840.00,146,238,20.9,0.000,0.4660
19,200,40.00,-2761.00,139,236,22.2,0.000,0.3980
20,200,27.00,-2641.00,127,236,23.4,0.000,0.4234
21,200,76.00,-2754.00,133,247,24.6,0.000,0.3178
22,200,84.00,-2852.00,152,225,25.8,0.000,0.4484
23,200,65.00,-2738.00,132,243,26.9,0.000,0.5056
24,200,42.00,-2850.00,147,236,28.1,0.000,0.5286
25,200,154.00,-2699.00,126,250,29.2,0.000,0.4440
26,200,255.00,-2715.00,135,234,30.3,0.000,0.3264
27,200,154.00,-2780.00,142,234,31.5,0.000,0.2457
28,200,222.00,-2620.00,137,212,32.7,0.000,0.2595
29,200,196.00,-2856.00,135,262,33.8,0.000,0.5644
30,200,170.00,-2604.00,104,275,35.0,0.000,0.4639
31,200,107.00,-2604.00,128,226,36.2,0.000,0.2626
32,200,176.00,-2729.00,126,253,37.4,0.000,0.2935
33,200,192.00,-2792.00,133,254,38.5,0.000,0.3150
34,200,90.00,-2895.00,126,288,39.8,0.000,0.4455
35,200,241.00,-2662.00,110,273,41.2,0.000,0.2961
36,200,46.00,-2642.00,97,295,42.4,0.000,0.4242
37,200,81.00,-2758.00,123,267,43.5,0.000,0.1596
38,200,219.00,-2697.00,117,267,44.6,0.000,0.0212
39,200,-68.00,-2747.00,124,263,45.8,0.000,0.2027
40,200,33.00,-2828.00,132,261,47.0,0.000,0.5914
41,200,70.00,-2848.00,130,271,48.1,0.000,0.7312
42,200,-79.00,-2716.00,129,247,49.2,0.000,0.3325
43,200,-99.00,-2816.00,127,273,50.4,0.000,0.1462
44,200,74.00,-2684.00,114,273,51.6,0.000,0.4025
45,200,-11.00,-2772.00,120,279,52.8,0.000,0.3851
46,200,9.00,-2857.00,145,243,54.0,0.000,0.6873
47,200,93.00,-2726.00,129,249,55.2,0.000,0.1857
48,200,50.00,-2741.00,130,248,56.4,0.000,0.2888
49,200,38.00,-2836.00,132,263,57.5,0.000,0.5261
50,200,113.00,-2871.00,142,249,58.6,0.000,0.5589
