episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
1,200,32.00,-2807.00,116,291,9.2,0.503,1.0541
2,200,-38.00,-2852.00,137,258,22.5,0.185,0.3183
3,200,-49.00,-2994.00,147,267,36.0,0.068,0.2604
4,200,-4.00,-3040.00,144,280,49.3,0.050,0.2080
5,200,-5.00,-2830.00,129,271,62.7,0.050,0.1859
6,200,13.00,-2771.00,128,259,76.2,0.050,0.1607
7,200,-21.00,-2869.00,143,250,89.4,0.050,0.1547
8,200,20.00,-2693.00,122,258,103.0,0.050,0.1334
9,200,52.00,-2743.00,138,237,116.2,0.050,0.1331
10,200,6.00,-2675.00,127,242,129.6,0.050,0.1354
11,200,30.00,-2785.00,135,248,143.1,0.050,0.1325
12,200,-24.00,-2730.00,126,255,156.7,0.050,0.1193
13,200,24.00,-2693.00,109,282,172.3,0.050,0.1195
14,200,-22.00,-2755.00,126,261,186.8,0.050,0.1142
15,200,57.00,-3043.00,150,271,200.4,0.050,0.1228
16,200,13.00,-2795.00,134,256,213.9,0.050,0.1169
17,200,0.00,-2874.00,144,249,227.3,0.050,0.1174
18,200,-40.00,-2918.00,155,235,241.2,0.050,0.1132
19,200,23.00,-2778.00,130,259,255.0,0.050,0.1100
20,200,6.00,-2662.00,119,256,268.4,0.050,0.1083
21,200,-20.00,-2850.00,139,255,282.2,0.050,0.1193
22,200,38.00,-2898.00,147,245,295.7,0.050,0.1121
23,200,-21.00,-2824.00,132,260,309.3,0.050,0.1098
24,200,-6.00,-2898.00,141,260,322.8,0.050,0.1103
25,200,-22.00,-2875.00,140,258,336.5,0.050,0.1110
26,200,5.00,-2965.00,149,256,349.7,0.050,0.1136
27,200,-20.00,-2954.00,154,245,363.4,0.050,0.1062
28,200,59.00,-2783.00,148,223,377.0,0.050,0.1135
29,200,26.00,-3026.00,142,283,390.4,0.050,0.1156
30,200,-29.00,-2803.00,117,290,404.1,0.050,0.1128
31,200,-54.00,-2765.00,141,232,417.5,0.050,0.1183
32,200,-26.00,-2931.00,148,251,431.1,0.050,0.1206
33,200,19.00,-2965.00,152,250,444.6,0.050,0.1203
34,200,26.00,-2959.00,134,284,458.1,0.050,0.1119
35,200,-46.00,-2949.00,128,296,471.4,0.050,0.1101
36,200,-28.00,-2716.00,109,286,486.2,0.050,0.1104
37,200,21.00,-2818.00,128,270,501.4,0.050,0.1214
38,200,12.00,-2904.00,136,272,515.1,0.050,0.1071
39,200,50.00,-2629.00,120,248,528.6,0.050,0.1174
40,200,40.00,-2821.00,133,258,542.1,0.050,0.1133
41,200,9.00,-2909.00,137,270,555.6,0.050,0.1237
42,200,-19.00,-2656.00,129,236,568.8,0.050,0.1141
43,200,2.00,-2715.00,127,253,582.3,0.050,0.1202
44,200,23.00,-2735.00,127,257,595.4,0.050,0.1151
45,200,35.00,-2726.00,123,266,608.8,0.050,0.1220
46,200,60.00,-2806.00,145,234,623.1,0.050,0.1116
47,200,-8.00,-2827.00,140,248,636.8,0.050,0.1114
48,200,-15.00,-2806.00,138,245,650.2,0.050,0.1135
49,200,24.00,-2850.00,139,253,664.4,0.050,0.1136
50,200,86.00,-2898.00,150,239,677.4,0.050,0.1261
51,200,44.00,-2711.00,129,244,690.7,0.050,0.1167
52,200,55.00,-2806.00,133,255,704.4,0.050,0.1149
53,200,55.00,-3026.00,155,257,717.3,0.050,0.1119
54,200,39.00,-2820.00,134,259,730.5,0.050,0.1108
55,200,50.00,-2630.00,118,251,743.7,0.050,0.1152
56,200,41.00,-2754.00,138,237,757.2,0.050,0.1120
57,200,52.00,-2829.00,133,260,770.6,0.050,0.1193
58,200,4.00,-2688.00,127,246,784.0,0.050,0.1164
59,200,20.00,-2777.00,135,247,797.8,0.050,0.1102
60,200,5.00,-2954.00,145,263,812.6,0.050,0.1090
61,200,6.00,-2921.00,150,243,828.7,0.050,0.1088
62,200,-21.00,-2766.00,132,251,844.1,0.050,0.1083
63,200,10.00,-2928.00,127,291,858.8,0.050,0.1141
64,200,48.00,-2634.00,119,253,872.1,0.050,0.1104
