episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
1,200,-46.00,-1179.00,99,26,1.3,0.000,0.8435
2,200,15.00,-1094.00,97,15,2.3,0.000,0.5515
3,200,64.00,-1045.00,91,16,3.4,0.000,0.4494
4,200,103.00,-1030.00,91,13,4.5,0.000,0.2147
5,200,227.00,-1082.00,96,13,5.6,0.000,0.4155
6,200,89.00,-1051.00,88,25,6.6,0.000,0.3221
7,200,61.00,-977.00,82,21,7.7,0.000,0.2766
8,200,135.00,-1001.00,84,21,8.8,0.000,0.4236
9,200,58.00,-1047.00,86,27,9.8,0.000,0.4058
10,200,164.00,-919.00,76,21,10.9,0.000,0.4930
11,200,-22.00,-980.00,86,14,12.0,0.000,0.5492
12,200,42.00,-1103.00,95,20,13.0,0.000,0.4397
13,200,177.00,-906.00,77,17,14.1,0.000,0.3478
14,200,211.00,-932.00,76,24,15.1,0.000,0.3073
15,200,258.00,-910.00,72,27,16.2,0.000,0.4521
16,200,345.00,-727.00,55,25,17.3,0.000,0.4822
17,200,224.00,-660.00,44,35,18.3,0.000,0.4831
18,200,256.00,-742.00,52,35,19.4,0.000,0.3497
19,200,212.00,-798.00,53,43,20.5,0.000,0.4755
20,200,281.00,-904.00,66,39,21.7,0.000,0.4417
